[02:24:51] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[02:25:48] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:49] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:49] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:50] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:51] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:51] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:51] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:52] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:52] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:54] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:54] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:55] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:55] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:02] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:02] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:03] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:03] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:06] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:06] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:07] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:07] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:08] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:08] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:09] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:09] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:10] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:10] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:11] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:11] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:13] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:13] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:14] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:14] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:15] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:15] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:16] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:16] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:17] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:17] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:18] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:18] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:19] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:19] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:20] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:21] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:21] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:21] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:22] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:22] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:23] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:23] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:24] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:24] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:25] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:25] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:27] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:27] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:28] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:28] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:30] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:30] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:31] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:31] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:32] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:32] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:33] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:33] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:35] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:35] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:38] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:38] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:39] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:39] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:41] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:43] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:43] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:44] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:44] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:45] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:45] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:46] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:46] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:47] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:47] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:48] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:48] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:49] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:49] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:50] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:50] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:51] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:51] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:52] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:52] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:54] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:54] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:55] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:55] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:26:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:02] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:02] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:03] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:03] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:06] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:06] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:07] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:07] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:08] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:08] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:09] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:09] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:10] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:10] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:11] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:11] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:13] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:13] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:14] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:14] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:15] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:15] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:16] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:16] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:17] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:17] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:18] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:18] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:19] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:19] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:20] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:20] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:21] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:21] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:22] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:22] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:23] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:24] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:24] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:24] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:25] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:25] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:27] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:27] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:28] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:28] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:30] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:30] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:36] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:38] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:38] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:39] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:39] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:27:43] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:27:43] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:27:43] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:27:43] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:27:43] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:27:43] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:27:43] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[02:27:44] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[02:27:44] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[02:27:45] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[02:27:45] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[02:27:49] [Server thread/INFO]: Time elapsed: 134941 ms
[02:27:49] [Server thread/INFO]: Done (166.614s)! For help, type "help"
[02:27:49] [Server thread/INFO]: Starting remote control listener
[02:27:49] [Server thread/INFO]: Thread RCON Listener started
[02:27:49] [Server thread/INFO]: RCON running on 0.0.0.0:25575
[02:27:51] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2275ms or 45 ticks behind
[02:30:43] [Server thread/INFO]: Seed: [-1527646384988761074]
[02:30:47] [Server thread/INFO]: Stopping the server
[02:30:47] [Server thread/INFO]: Stopping server
[02:30:47] [Server thread/INFO]: Saving players
[02:30:47] [Server thread/INFO]: Saving worlds
[02:30:51] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[02:30:53] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[02:30:53] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[02:30:53] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[02:30:53] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[02:30:53] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[02:30:53] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
[02:30:53] [Server thread/INFO]: Thread RCON Listener stopped
